#image,n_patches,2nd_largest_patch,patch_50+_pix,n_features,mean_patch_size,largest_patch
outputs/tmp_0113_median.npy,37,5,1,1784,1.25714285714,276623
outputs/tmp_0114_median.npy,25,54,2,1928,4.21739130435,277731
outputs/tmp_0115_median.npy,26,34,1,1827,3.70833333333,277720
outputs/tmp_0116_median.npy,21,80,2,1953,5.57894736842,277962
outputs/tmp_0117_median.npy,22,64,2,1709,4.55,278487
outputs/tmp_0118_median.npy,23,6,1,1792,1.80952380952,278475
outputs/tmp_0119_median.npy,23,3,1,1955,1.33333333333,277916
outputs/tmp_0120_median.npy,23,4,1,1830,1.2380952381,277960
outputs/tmp_0121_median.npy,24,7,1,1888,1.95454545455,278095
outputs/tmp_0122_median.npy,20,14,1,1620,2.27777777778,278868
outputs/tmp_0123_median.npy,17,44,1,1744,3.86666666667,278923
outputs/tmp_0124_median.npy,25,5,1,1929,1.5652173913,277555
outputs/tmp_0125_median.npy,25,5,1,1799,1.26086956522,278028
outputs/tmp_0126_median.npy,18,4,1,1675,1.5,279226
outputs/tmp_0127_median.npy,24,7,1,1734,1.86363636364,278314
outputs/tmp_0128_median.npy,17,14,1,1743,2.4,278971
outputs/tmp_0129_median.npy,24,50,2,1909,5.90909090909,277938
outputs/tmp_0130_median.npy,27,8,1,1926,1.48,277764
outputs/tmp_0131_median.npy,20,7,1,1691,1.72222222222,278961
outputs/tmp_0132_median.npy,20,5,1,1950,1.55555555556,277925
outputs/tmp_0133_median.npy,23,12,1,1855,1.57142857143,277845
outputs/tmp_0134_median.npy,21,4,1,1974,1.26315789474,278029
outputs/tmp_0135_median.npy,22,20,1,1728,2.55,278674
outputs/tmp_0136_median.npy,30,29,1,1890,2.60714285714,277085
outputs/tmp_0137_median.npy,26,12,1,2034,1.54166666667,277259
outputs/tmp_0138_median.npy,28,8,1,1981,1.80769230769,277470
outputs/tmp_0139_median.npy,22,29,1,1864,3.45,278340
outputs/tmp_0140_median.npy,22,10,1,1804,2.4,278488
outputs/tmp_0141_median.npy,29,5,1,1853,1.48148148148,277643
outputs/tmp_0142_median.npy,40,170,2,1595,6.0,276039
outputs/tmp_0143_median.npy,22,175,3,1077,13.1,279102
outputs/tmp_0144_median.npy,31,80,2,1759,5.34482758621,277377
outputs/tmp_0145_median.npy,21,330,2,706,21.3684210526,279404
outputs/tmp_0146_median.npy,22,412,2,836,23.9,279000
outputs/tmp_0147_median.npy,31,158,2,984,8.51724137931,278728
outputs/tmp_0148_median.npy,35,89,2,1668,5.72727272727,276798
outputs/tmp_0149_median.npy,24,252,3,1494,22.2272727273,277239
outputs/tmp_0150_median.npy,21,224,3,917,23.1578947368,278671
outputs/tmp_0151_median.npy,25,288,2,1603,15.9130434783,277968
outputs/tmp_0152_median.npy,25,252,3,1440,15.8260869565,278214
outputs/tmp_0153_median.npy,42,7,1,2182,1.325,274392
outputs/tmp_0154_median.npy,24,8,1,1744,1.63636363636,278549
outputs/tmp_0155_median.npy,21,22,1,1931,2.26315789474,277851
outputs/tmp_0156_median.npy,30,109,2,1966,5.82142857143,276701
outputs/tmp_0157_median.npy,19,25,1,1900,2.76470588235,278574
outputs/tmp_0158_median.npy,25,3,1,2046,1.34782608696,277200
outputs/tmp_0159_median.npy,45,30,1,1765,2.67441860465,275410
outputs/tmp_0160_median.npy,39,11,1,2226,1.81081081081,274860
outputs/tmp_0161_median.npy,24,2,1,2127,1.09090909091,277167
outputs/tmp_0162_median.npy,25,35,1,2059,4.73913043478,277406
outputs/tmp_0163_median.npy,55,35,1,1561,1.83018867925,272541
outputs/tmp_0164_median.npy,53,6,1,1801,1.29411764706,273780
outputs/tmp_0165_median.npy,27,8,1,2167,1.76,276872
outputs/tmp_0166_median.npy,53,8,1,1840,1.45098039216,273091
outputs/tmp_0167_median.npy,25,39,1,2002,3.60869565217,277321
outputs/tmp_0168_median.npy,38,8,1,1957,1.58333333333,275748
outputs/tmp_0169_median.npy,48,27,1,1840,1.97826086957,273812
outputs/tmp_0170_median.npy,32,21,1,2124,2.06666666667,276024
outputs/tmp_0171_median.npy,21,9,1,1881,2.05263157895,278155
outputs/tmp_0172_median.npy,36,36,1,1830,3.79411764706,276746
outputs/tmp_0173_median.npy,27,182,2,1843,9.4,277312
outputs/tmp_0174_median.npy,33,320,2,1813,11.7096774194,275964
outputs/tmp_0175_median.npy,33,429,2,1818,15.5483870968,275803
