,X,img130,img131,img132,img133,img134,img135,img136,img137,img138,img139,img140,img141,img142,img143,img144,img145,img146,img147,img148,img149,img150,img151,img152,img153,img154,img155,img156,img157,img158,img159
10,14.19140625,5.16108636831,4.18774626978,2.10380372096,4.710963119,4.34054325751,2.84260923961,4.09405165551,3.54394394248,3.92701086898,3.81517913014,4.64096813051,3.38506977633,4.15944687339,4.21753658278,4.51213718203,4.13235576175,3.98177331863,3.91137070712,4.10287943487,3.26623169669,3.51693180887,4.89580362968,1.97772360529,4.52622293293,3.32283927269,3.62961344538,4.32901121571,2.12710479836,2.06818586175,3.80009818017
11,15.54296875,4.99162473453,3.9054180687,1.95904139232,4.44966349415,4.0932465311,2.49831055379,3.8271753483,3.31868926995,3.68024483704,3.66773305253,4.3577252684,3.15136985025,3.92998059052,4.02036128265,4.12106716747,3.93495270782,3.60756224318,3.59472394641,4.0397312961,3.15775888605,3.3856062736,4.85367388087,1.81954393554,4.28255414285,3.11092624227,3.36153897127,4.10940979055,1.96378782735,1.88081359228,3.64018319192
12,16.89453125,4.82153972939,3.70225816316,1.75587485567,4.20265175976,3.92813970688,2.45178643552,3.77055747485,3.12319807503,3.47275644932,3.37309598708,4.07313156494,2.9795483747,3.853333105,3.60691852595,3.91094440575,3.53147891704,3.51454775266,3.39915433396,3.85003325769,2.94250410617,3.10822665637,4.43816247167,1.54406804435,4.15001920192,2.83314711191,3.04999285692,3.81418098104,1.93951925262,1.69019608003,3.52139962812
13,18.24609375,4.64666833975,3.2833012287,1.79934054945,3.98127483271,3.54937115233,2.10720996965,3.51041094801,3.01535975541,3.28488171466,3.08386080087,3.80147231352,2.76492298465,3.62695595144,3.39181692361,3.81590965089,3.40001963507,3.29578694025,3.20817252667,3.65552259625,2.69897000434,3.00216606176,4.2612866651,1.41497334797,4.0199051998,2.660865478,2.96331551139,3.78290240597,1.85125834872,1.47712125472,3.36455099535
14,19.59765625,4.61232813812,3.06744284278,1.69019608003,3.62889956442,3.38345629652,2.10037054512,3.4605971889,2.66558099102,3.07188200731,2.74507479158,3.41380251677,2.63848925695,3.58568627845,3.20002926655,3.51838231555,3.07114529045,3.15533603747,3.01786771896,3.4898179083,2.65991620007,2.87040390528,4.20841448095,1.11394335231,3.90595769909,2.45636603313,2.67302090713,3.61214783833,1.81291335664,1.14612803568,3.21879799811
15,20.94921875,4.20371264061,2.8744818177,1.49136169383,3.65021035466,3.19200959265,1.7923916895,3.20763436739,2.57749179984,2.89376176206,2.7371926427,3.39915433396,2.36921585741,3.44341946178,3.16967443406,3.33765889103,2.93196611473,2.90633504181,2.88309335858,3.22865695811,2.43136376416,2.7299742857,3.8184898222,1.11394335231,3.77822362677,2.19865708695,2.62634036738,3.30535136945,1.59106460703,0.954242509439,3.0937717815
16,22.30078125,4.05407655729,2.85125834872,1.32221929473,3.45666962942,3.1622656143,1.85125834872,3.169968174,2.37657695706,2.70926996098,2.48429983935,3.17114115103,2.14921911266,3.2447717615,2.85491302231,3.32097667734,2.90308998699,2.9014583214,2.80208925788,3.20030318298,2.17897694729,2.71264970163,3.79795964374,0.845098040014,3.7355988997,2.19865708695,2.42324587394,3.28712962072,1.27875360095,0.778151250384,2.92168647548
17,23.65234375,3.9024380562,2.56937390962,1.47712125472,3.30362797638,2.83821922191,1.59106460703,2.89376176206,2.30963016743,2.61172330801,2.27646180417,2.99607365449,2.13353890837,3.19506899647,2.75815462197,3.03100428136,2.61278385672,2.7259116323,2.6414741105,3.06855689507,2.04532297879,2.64246452024,3.43296929087,0.698970004336,3.50596351802,2.10380372096,2.04921802267,3.1105897103,1.14612803568,0.903089986992,2.84509804001
18,25.00390625,3.75112507154,2.3909351071,1.20411998266,3.12515582958,2.64443858947,1.50514997832,2.84447717575,2.18469143082,2.38201704257,2.22010808804,2.82801506422,1.90308998699,3.03342375549,2.74818802701,2.89652621749,2.53529412004,2.67302090713,2.53907609879,2.87794695163,1.86923171973,2.67760695272,3.45788189673,0.0,3.40053798939,2.02530586526,2.06069784035,2.88138465677,1.11394335231,0.845098040014,2.64443858947
19,26.35546875,3.61161711055,2.17897694729,1.27875360095,3.00389116624,2.52374646681,1.50514997832,2.60852603358,1.91907809238,2.27184160654,2.08278537032,2.65896484266,1.74818802701,2.83632411571,2.56110138365,2.76342799356,2.57518784493,2.48287358361,2.42975228,2.70671778234,1.66275783168,2.65801139666,3.13225968953,0.602059991328,3.2739267801,1.79934054945,1.89209460269,2.88366143515,1.17609125906,0.845098040014,2.45331834005
