image,n_patches,largest_patch,patch_50+_pix,n_features,mean_patch_size,std_patch_size,mean_displ_X,mean_displ_Y,std_displ_X,std_displ_Y
outputs/tmp_0378_median.npy,22,2758.0,8,61,60.885245901639344,349.81545946964081,0.9595890410958906,5.2867579908675735,4.995021565481105,198.09525613366003
outputs/tmp_0379_median.npy,20,1135.0,9,31,115.09677419354838,264.53444861817752,7.1733333333333329,11.705,30.243151659658178,193.36812970914696
outputs/tmp_0380_median.npy,22,788.0,9,131,21.580152671755727,93.971162882087427,1.7846153846153847,5.1846153846153848,7.7830660937758873,314.80182882331161
outputs/tmp_0381_median.npy,24,132.0,8,128,8.8984375,22.531172795897547,2.1259842519685042,6.0393700787401539,4.4498794810377431,290.08782860930461
outputs/tmp_0382_median.npy,19,558.0,4,163,8.3374233128834359,45.873689059872987,1.5185185185185186,-0.72839506172839474,3.9529891384622893,294.79381770210261
outputs/tmp_0383_median.npy,23,545.0,6,139,12.194244604316546,55.986107950295875,1.951086956521739,-0.42028985507246541,4.0360666421202618,301.941604370042
outputs/tmp_0384_median.npy,16,605.0,3,275,4.8218181818181822,37.515682494896062,0.97931873479318754,-0.42457420924574391,3.7764224484406479,331.03169675719982
outputs/tmp_0385_median.npy,20,138.0,3,811,2.1652281134401972,5.8965453566292068,0.33703703703703702,0.22098765432098877,1.2656138213294108,298.2027767779864
outputs/tmp_0386_median.npy,20,720.0,2,470,3.8680851063829786,33.904114520800654,0.58422174840085284,-1.2089552238805981,2.0926586944517047,316.47405008411931
outputs/tmp_0387_median.npy,20,154.0,2,441,2.435374149659864,8.4965523437898245,0.62272727272727268,0.045454545454545969,1.3400955101680558,310.80810527510022
outputs/tmp_0388_median.npy,17,131.0,3,554,2.3122743682310469,7.1760955633847558,0.49547920433996384,1.2124773960217006,1.1128965779049518,318.71173327634784
outputs/tmp_0389_median.npy,24,82.0,3,956,2.3315899581589958,4.4284037075134917,0.28586387434554972,0.82303664921465947,0.82297975469517004,279.56006342786111
outputs/tmp_0390_median.npy,17,103.0,4,604,2.1125827814569536,6.8307767162880531,0.45190713101160862,-0.30762852404643409,1.0537336276555098,332.17031583371778
outputs/tmp_0391_median.npy,27,51.0,1,1145,2.3196506550218339,3.5301580132455976,0.23776223776223776,0.68575174825174845,0.9318458918572704,253.53516809000038
outputs/tmp_0392_median.npy,25,80.0,3,927,2.3581445523193096,4.5164324219019738,0.29157667386609071,0.85205183585313149,0.91196007119225497,296.18707232723557
outputs/tmp_0393_median.npy,22,139.0,3,760,2.1526315789473682,6.6524920871451698,0.36100131752305664,0.52832674571805005,0.99735104454957413,293.07821940608562
outputs/tmp_0394_median.npy,21,172.0,6,572,2.6416083916083917,10.041655350006851,0.45884413309982486,1.1926444833625218,1.1720219223001551,307.44284923688684
outputs/tmp_0395_median.npy,22,129.0,3,925,2.3372972972972974,6.147973803179978,0.27636997149192272,0.041785450322034963,0.97195101081490332,300.4441909705418
outputs/tmp_0396_median.npy,21,111.0,2,983,2.2797558494404884,4.791700516166105,0.2596390195940726,0.030093405435774184,0.7694791446399073,277.36248584197097
